,id,title,description,tags,latitude,longitude,context,url_c,owner,all_comments,all_text,vector,vector_name,most_sim_dist,correct_district,ai_caption
0,53457490250,20231215_Birdbuddy_005,Kohlmeise am Birdbuddy-Futterhaus,greattit kohlmeise tit meise vogel bird animal tier 2023 winter birdbuddy feeder futterhaus video,48.248368,16.442627,0,https://live.staticflickr.com/31337/53457490250_0b4bbe9025_c.jpg,25507134@N00,[],Kohlmeise Birdbuddy Futterhaus greattit kohlmeise tit meise vogel bird animal tier winter birdbuddy feeder futterhaus video,"[-5.46191484e-02 -1.66687388e-02 -1.77188739e-02  1.04789548e-01
  3.19412760e-02 -7.54875503e-03 -5.71729988e-02  2.93452144e-02
 -1.25576109e-01 -3.43730412e-02  3.35062742e-02 -1.15015060e-02
 -2.94804443e-02 -6.47345707e-02 -3.74036499e-05 -1.37651116e-01
  3.84873897e-02  5.71541451e-02 -1.18030265e-01 -1.12098858e-01
 -6.00722339e-03  4.86138947e-02  3.55866961e-02 -1.77015327e-02
  1.66069530e-02 -3.19621712e-02 -9.24825370e-02 -2.17697602e-02
  3.22224274e-02 -4.89140674e-02  5.24916314e-02 -2.38964241e-02
 -3.70017029e-02 -7.85435438e-02 -3.93920355e-02  3.85056399e-02
  1.33184418e-02 -5.25949299e-02 -7.87716508e-02 -1.66485254e-02
 -1.00599881e-02 -3.22179943e-02  9.51338559e-03 -2.91295294e-02
  3.68341766e-02 -6.65230528e-02 -1.99463423e-02 -3.84128690e-02
  5.02051301e-02 -4.02570739e-02 -1.18833659e-02 -2.33553257e-02
 -2.40739156e-02 -1.02206632e-01 -5.50370216e-02  6.65938035e-02
 -7.50806462e-03  4.38603312e-02 -2.96769012e-02  7.61994123e-02
  3.30687240e-02  6.06429726e-02  1.15408041e-01 -4.53322344e-02
 -3.81537676e-02  1.73259396e-02  5.00350259e-02  1.09376505e-01
 -1.06078252e-01 -1.11504700e-02 -2.85362620e-02  7.96455368e-02
 -2.11989265e-02 -4.02039476e-02 -6.40371665e-02  3.52160037e-02
  1.10211223e-02 -6.38129413e-02 -1.86967235e-02 -3.53831649e-02
 -1.50517039e-02  2.01196838e-02 -9.49450508e-02  2.95727737e-02
  3.90731432e-02 -2.86307540e-02  1.83406658e-02 -5.93871437e-02
  6.69838265e-02  2.25911904e-02 -1.52940433e-02  8.39654729e-02
 -6.27664700e-02 -7.36107901e-02  3.44284177e-02  1.10300861e-01
  5.08284122e-02 -2.46639233e-02  1.22743174e-01  2.15101987e-02]",PICTURE53457490250,4,22,there is a bird that is sitting on a ledge
24,53457109895,"Juan de Flandes: Joanna of Castile, Philip the Handsome; ca. 1500","Canon EOS R6 Mark II, Sigma 50/1.4 DG HSM(A), processed in Lightroom.

Kunsthistorisches Museum Wien.

Wikipedia: &quot;Juan de Flandes (&quot;John of Flanders&quot;; c. 1460 – by 1519) was a Flemish painter active in Spain from 1496 to 1519.&quot;

Wikipedia: &quot;Joanna (6 November 1479 – 12 April 1555), historically known as Joanna the Mad (Spanish: Juana la Loca), was the nominal queen of Castile from 1504 and queen of Aragon from 1516 to her death in 1555. She was the daughter of Queen Isabella I of Castile and King Ferdinand II of Aragon. Joanna was married by arrangement to the Austrian archduke Philip the Handsome on 20 October 1496&quot;

Wikipedia:  &quot;Philip the Handsome (22 July 1478 – 25 September 1506), also called the Fair, was ruler of the Burgundian Netherlands and titular Duke of Burgundy from 1482 to 1506, as well as the first Habsburg King of Castile (as Philip I) for a brief time in 1506.

The son of Maximilian of Austria (later Holy Roman Emperor as Maximilian I) and Mary of Burgundy, Philip was not yet four years old when his mother died as a result of a riding accident, and upon her death, he inherited the Burgundian Netherlands. Despite his young age, Philip quickly proved himself an effective ruler beloved by his people in the Low Countries, pursuing policies that favored peace and economic development, while maintaining a steady course of the government building.&quot;

<a href=""https://en.wikipedia.org/wiki/Juan_de_Flandes"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Juan_de_Flandes</a>
<a href=""https://en.wikipedia.org/wiki/Joanna_of_Castile"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Joanna_of_Castile</a>
<a href=""https://en.wikipedia.org/wiki/Philip_I_of_Castile"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Philip_I_of_Castile</a>

<a href=""https://de.wikipedia.org/wiki/Kunsthistorisches_Museum_Wien"" rel=""noreferrer nofollow"">de.wikipedia.org/wiki/Kunsthistorisches_Museum_Wien</a>
<a href=""https://en.wikipedia.org/wiki/Kunsthistorisches_Museum"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Kunsthistorisches_Museum</a>
<a href=""https://www.geschichtewiki.wien.gv.at/Kunsthistorisches_Museum"" rel=""noreferrer nofollow"">www.geschichtewiki.wien.gv.at/Kunsthistorisches_Museum</a>",canoneosr6markii juandeflandes kunst kunsthistorischesmuseum sigma5014dghsma wien österreich vienna austria,48.20378,16.361772,0,https://live.staticflickr.com/65535/53457109895_d333bfd5a8_c.jpg,60030427@N07,[],Juan de Flandes Joanna Castile Philip Handsome Canon EOS Mark II Sigma DG processed Lightroom Kunsthistorisches Museum Wien  de Flandes Flemish painter active Spain  November April historically known Joanna Mad Spanish Juana la Loca nominal queen Castile queen Aragon death daughter Queen Isabella Castile King Ferdinand II Aragon Joanna married arrangement Austrian archduke Philip Handsome October  Handsome July September called Fair ruler Burgundian Netherlands titular Duke Burgundy Habsburg King Castile Philip brief time son Maximilian Austria later Holy Roman Emperor Maximilian Mary Burgundy Philip years old mother died result riding accident death inherited Burgundian Netherlands Despite young age Philip quickly proved effective ruler beloved people Low Countries pursuing policies favored peace economic development maintaining steady course government           juandeflandes kunst kunsthistorischesmuseum wien österreich vienna austria,"[-0.15062766  0.0164356  -0.19263084  0.13336791  0.0609311  -0.01906237
 -0.12366527  0.05243979 -0.10533709 -0.00248062  0.05284984  0.02349668
 -0.17252807 -0.0805108  -0.17000346 -0.28192064  0.02915872  0.26062757
 -0.16421288 -0.13727623  0.00861309  0.09383817 -0.10399508  0.08978547
  0.0925265  -0.20635912 -0.18979721 -0.12549254  0.05360733 -0.28446117
  0.19566298  0.07409602 -0.01835882 -0.05675992 -0.11934797 -0.01545958
  0.08003708 -0.07717036 -0.12081627 -0.03832442 -0.04529237 -0.01846753
  0.05238864 -0.18099497  0.07232363 -0.1479988  -0.02007266  0.00412197
  0.10997223 -0.1371024   0.00978063  0.11181939 -0.11073005 -0.24322231
  0.03846205  0.10220081 -0.00660107  0.10683413 -0.0566488   0.21620305
  0.07402317  0.07429105  0.2629155  -0.15156825 -0.03339341 -0.15017253
  0.05832092  0.0069142  -0.26635048 -0.0671091  -0.15539937  0.03759106
 -0.15949449 -0.14683895 -0.04854457  0.04298727 -0.04507022 -0.13632052
 -0.0240348  -0.11750077  0.08905952  0.07082591 -0.14691183  0.1336308
  0.02527003  0.0267528   0.17164505 -0.17038785  0.1365855   0.08014434
 -0.21541373  0.18103968 -0.0589224  -0.11170667  0.05451772  0.15070976
  0.05028316  0.01653491  0.21018067  0.17765543]",PICTURE53457109895,2,1,two paintings of women in renaissance dress are hanging on a wall
27,53455214981,a week after christmas,"Kurt-PInt-Platz, Mariahilf, Vienna, Austria.
©hris Haderer 2024 - All Rights Reserved.",wien österreich stadtspaziergang skyline graffiti symbole zeichen verhaltensweisen originell beobachtungen citywalk symbols signs behaviors original observations leute menschen szenen people scenes,48.191108,16.347686,0,https://live.staticflickr.com/65535/53455214981_7411421168_c.jpg,95118391@N07,[],week christmas Kurt PInt Platz Mariahilf Vienna Austria hris Haderer Rights Reserved wien österreich stadtspaziergang skyline graffiti symbole zeichen verhaltensweisen originell beobachtungen citywalk symbols signs behaviors original observations leute menschen szenen people scenes,"[-1.09772086e-01 -8.10928121e-02 -1.05343863e-01  5.72271161e-02
  5.47347963e-02 -2.07392015e-02 -8.16025659e-02  3.21513191e-02
 -2.16491967e-01 -2.72306316e-02 -5.26284520e-03  1.79381352e-02
 -2.35474538e-02  1.04003251e-02  1.47712622e-02 -1.14826255e-01
  9.31816101e-02  7.81170279e-02 -1.29594073e-01 -1.58530653e-01
 -1.11044079e-01 -3.90842650e-03  1.30648594e-02 -4.14534509e-02
  3.06895468e-02 -7.34717622e-02 -1.20967261e-01 -7.59072825e-02
 -1.17603866e-02 -2.01103394e-03  1.65577963e-01  5.42927384e-02
 -7.74291456e-02 -1.57541394e-01 -3.22462693e-02  1.89201739e-02
 -4.01665010e-02 -1.07482538e-01 -1.53997559e-02  4.06346191e-03
 -7.90203921e-03 -1.30015850e-01  9.29338112e-03 -6.66744858e-02
  5.74817546e-02 -9.73975807e-02  4.42124717e-02 -3.15721035e-02
  7.71687478e-02 -7.73494691e-02  4.04231697e-02 -4.54937033e-02
 -5.36298081e-02 -9.44674686e-02 -1.00312904e-01  8.47936198e-02
  1.37068620e-02  1.98995024e-02 -6.87252879e-02  3.88596095e-02
  4.35151681e-02  1.44822793e-02  1.63891524e-01 -4.09773318e-03
 -4.36071344e-02  6.82228580e-02  1.04056053e-01  2.27565225e-02
 -1.53304294e-01  1.46343615e-02 -9.47304368e-02  7.29657859e-02
 -5.44530200e-03 -7.68239424e-02 -5.92120551e-02  3.78199667e-02
 -6.90876916e-02 -3.82906012e-02  1.57244489e-04  3.76273505e-02
  3.98790464e-02  8.82300735e-03 -1.36347681e-01  3.34537849e-02
  7.25682452e-02 -5.17369322e-02  9.45046544e-03 -2.10971162e-02
  7.06937984e-02  5.20006120e-02  1.23718968e-02  5.83981015e-02
 -8.19927156e-02 -1.33894190e-01  1.10165868e-02  9.49032754e-02
  1.08680278e-01 -1.01265088e-02  1.45317629e-01 -4.25101630e-02]",PICTURE53455214981,14,6,arafed pile of trees on the sidewalk in front of a building
29,53455308063,church_bokeh,"... jesuitenkirche in vienna ...
by <a href=""http://www.ewaldmario.com"" rel=""noreferrer nofollow"">www.ewaldmario.com</a>",jesuitenkirche kirche monochrome ewaldmario nikon z5 nikonz5 bokeh contrast composition square schwarzweiss church foreground dof z50mm18s 50mm,48.209052,16.377826,0,https://live.staticflickr.com/65535/53455308063_1b08d3bde0_c.jpg,32299190@N06,"['Absolutely wonderful 👍 ', 'Super depth of field ', 'Creative.... ']",jesuitenkirche vienna jesuitenkirche kirche monochrome ewaldmario nikon bokeh contrast composition square schwarzweiss church foreground dof mm,"[-0.03559814 -0.05626474 -0.04920245  0.13307586  0.04916966 -0.04065072
 -0.0956447   0.04547704 -0.13232    -0.0714101   0.04462897  0.01833882
 -0.04863589 -0.00879692  0.0008834  -0.12093255 -0.00210649  0.1030797
 -0.14409822 -0.13569501 -0.03168387  0.06628434 -0.00471384 -0.03955039
  0.08659364 -0.02455361 -0.12546931 -0.05065479  0.07602486 -0.08240003
  0.116265    0.02429918 -0.05223568 -0.09060325 -0.04612318  0.03714466
 -0.01814008 -0.08289459 -0.08091313 -0.0599159   0.0064134  -0.1390326
  0.03800001 -0.0600201   0.05159279 -0.1247982  -0.0297034  -0.04106678
  0.07361009 -0.08535526  0.00569066 -0.0196819  -0.06777037 -0.09340809
 -0.07117094  0.09197154 -0.01228308  0.0223566  -0.0576202   0.06061401
  0.01920477  0.11842991  0.20271955 -0.05462536 -0.11840215  0.03762028
  0.05690148  0.063036   -0.13676041 -0.0023358  -0.08058336  0.12637255
 -0.05002999 -0.06468552 -0.0219062   0.01775169 -0.00540807 -0.04892507
 -0.01313368 -0.01288432  0.07054676  0.0417219  -0.12934223  0.04070768
  0.06325738  0.03525128  0.00780636 -0.0583571   0.09447934  0.07600833
 -0.04810884  0.11720458 -0.01450125 -0.08864819 -0.01725518  0.10992815
  0.09990092 -0.05645829  0.14746705  0.04198525]",PICTURE53455308063,4,1,a close up of a crown on a pedestal in a room
39,53452848632,"2016-10-24 AT Wien 22 Donaustadt, Untere Alte Donau @ Laberlweg, Großes Gänsehäufel",,vienna oxbow lake,48.230013,16.424855,0,https://live.staticflickr.com/65535/53452848632_1c74116499_c.jpg,158438800@N02,[],Wien Donaustadt Untere Alte Donau Laberlweg Großes Gänsehäufel nan vienna oxbow lake,"[-0.1494688  -0.06032906 -0.15045674  0.09378272  0.0743014  -0.04104939
 -0.09317776  0.08671756 -0.22846864 -0.03532508  0.03676699  0.01424888
 -0.09749909 -0.04625745 -0.05440509 -0.19147648  0.17058557  0.13764864
 -0.18381004 -0.20199308 -0.10004655  0.01595304  0.05772348 -0.03830601
  0.04529518 -0.12339699 -0.18698041 -0.09924895  0.02739355 -0.08720756
  0.1756148   0.04369682 -0.07565184 -0.18671623 -0.00084044  0.0497464
  0.01295834 -0.15876926 -0.04340861  0.00225997 -0.02443976 -0.14382787
  0.02620352 -0.11105587  0.06444056 -0.16089909 -0.00622523 -0.0903196
  0.11505943 -0.07526793  0.02548335 -0.07292297 -0.11751818 -0.09874046
 -0.0836154   0.06991379  0.05554037  0.01816601 -0.09861335  0.16117316
  0.05385541  0.06272954  0.17877322 -0.02736985 -0.02240119  0.07946798
  0.14557876  0.10896196 -0.21334413 -0.01827757 -0.09195977  0.04240165
 -0.03249523 -0.11069749 -0.07123479  0.02102659 -0.04181432 -0.04218592
 -0.01403929 -0.01478432  0.00098264  0.07929792 -0.1464975   0.09002368
  0.07819051 -0.0677591   0.09088498 -0.0149075   0.06080225  0.0822826
 -0.02630428  0.08544548 -0.11152072 -0.20479885  0.06375837  0.16867265
  0.10559539 -0.01572702  0.18881413  0.00733275]",PICTURE53452848632,14,22,trees are in the background
41,53451771867,"Schottenkirche (ab 1155), Mitte 17. Jh., 1893","Unterseite der Orgelempore: Deckenmalereien (auf Leinwand) von Julius Schmid: Übergabe der Wiener Kirche durch Heinrich II. Jasomirgott and die Schottenmönche, Hl. Franziskus und Hl. Elisabeth (Namenspatrone des Herrscherpaares Franz Joseph und Elisabeth)",andreaalliodj andreaalliodä antoniocarlone barock baroque benedictine benediktiner benediktinerabtei innerestadt juliusschmid kirche kloster marcospazio schottenstift silvestrocarlone stift vienna wien abbey church,48.212015,16.365367,0,https://live.staticflickr.com/65535/53451771867_a5bde0f32b_c.jpg,87629873@N03,[],Schottenkirche ab Mitte Jh Unterseite der Orgelempore Deckenmalereien auf Leinwand von Julius Schmid Übergabe der Wiener Kirche durch Heinrich II Jasomirgott die Schottenmönche Hl Franziskus und Hl Elisabeth Namenspatrone des Herrscherpaares Franz Joseph und Elisabeth andreaalliodj andreaalliodä antoniocarlone barock baroque benedictine benediktiner benediktinerabtei innerestadt juliusschmid kirche kloster marcospazio schottenstift silvestrocarlone stift vienna wien abbey church,"[-0.07748864 -0.12506855 -0.18051     0.03543776  0.02571114 -0.06739248
 -0.16644897  0.05690574 -0.16930528 -0.05699774  0.07116126  0.04736236
 -0.08605788 -0.04722027 -0.03952283 -0.13764118  0.17980795  0.09141867
 -0.12320387 -0.19990979 -0.08598509  0.06215106 -0.02376591 -0.01762018
  0.04196547 -0.09335819 -0.22827353 -0.11971889  0.08762472 -0.11265973
  0.15981574  0.133036   -0.0436543  -0.19220585  0.01031428  0.02132616
 -0.04648931 -0.18927331 -0.12635753 -0.01326804 -0.0400173  -0.16240798
  0.11204252 -0.12674704  0.09371352 -0.22578469  0.00418797 -0.1260217
  0.16747716 -0.10377148  0.04246242  0.02911693 -0.12448688 -0.09989357
 -0.04208462  0.09035292  0.00917823  0.09583677 -0.04565847  0.14572541
  0.04894892  0.05847082  0.20589952  0.05518048 -0.05771197  0.05486548
  0.06066317  0.03103966 -0.20875719 -0.0145584  -0.07814912  0.02909887
 -0.06841902 -0.12725411 -0.01660546  0.0314057  -0.00629565 -0.033976
 -0.03900308  0.06590924  0.05571514  0.11500242 -0.22379361  0.1477987
  0.1035918  -0.00105972  0.08502413  0.09077468  0.09165947  0.13168421
 -0.02969337  0.09747795 -0.0898921  -0.16723345 -0.01207493  0.1028741
  0.1753418   0.02141358  0.20446916  0.01608063]",PICTURE53451771867,14,1,there is a ceiling with a painting on it and a door
43,53451258392,PXL_20240105_153210742_01,,nizza monaco reise frankreich polarbeargermanycom,48.19363,16.315472,0,https://live.staticflickr.com/65535/53451258392_fe71a062de_c.jpg,114975005@N05,[],nan nizza monaco reise frankreich polarbeargermanycom,"[-3.9299872e-02 -4.7827814e-02 -5.5879835e-02  2.3875514e-02
  1.6776128e-02 -2.0678010e-02 -4.1618861e-02  2.7963914e-02
 -5.6193355e-02 -3.3014651e-02  1.6237313e-02 -6.1208140e-03
 -1.6389990e-02  2.9638183e-04 -2.0718038e-02 -3.5487212e-02
  3.5315901e-02  3.0158725e-02 -2.8693322e-02 -5.6936849e-02
 -1.6303800e-02  2.1749971e-02  1.2475358e-03 -2.4446866e-03
  2.8342361e-02 -2.4287667e-02 -6.5595731e-02 -2.3808785e-02
  2.5951149e-02 -2.0111306e-02  5.2729405e-02  3.1978924e-02
 -1.4606898e-02 -6.0172226e-02 -1.2350053e-02  2.0598218e-02
 -4.4799047e-03 -5.9615560e-02 -2.2984067e-02  1.0306823e-02
  7.3180031e-03 -6.1216976e-02  8.4774951e-03 -4.3740377e-02
  2.2514673e-02 -5.5264100e-02 -4.6851481e-03 -1.5396203e-02
  3.2762881e-02 -2.7505945e-02  3.6015210e-03 -1.8030085e-02
 -3.4147225e-02  6.6305220e-06 -3.7763178e-02  2.3725430e-02
  1.8927237e-02  1.2947194e-03 -3.4111381e-02  1.9096186e-02
  2.0695433e-02  3.9244488e-02  6.0162161e-02  2.3804060e-03
 -1.1906681e-02  2.3045301e-02  1.3107183e-02  1.8165402e-02
 -5.4090790e-02 -1.1507066e-02 -2.0614395e-02  2.2075595e-02
 -5.7044923e-03 -4.2737141e-02  1.2485158e-02  7.0088557e-03
 -1.0144852e-02 -5.5446345e-03  2.9223547e-03  1.8921275e-02
  1.3797656e-02  1.9474385e-02 -4.7116321e-02  2.3108331e-02
  1.9733367e-02 -1.3441551e-02  4.7639678e-03  2.2818778e-02
  2.7836258e-02  3.7901994e-02 -1.3199488e-02  4.6110306e-02
 -1.8133428e-02 -4.2780627e-02  2.9204001e-03  5.4595310e-02
  4.0967017e-02 -1.6292920e-02  4.5331143e-02  1.5945211e-03]",PICTURE53451258392,14,15,arafed view of a city from an airplane window at dusk
52,53451225841,Donau City vom Schiff aus,"Die Donau City von Süd-Südwest aus gesehen. Von links nach rechts: Donauturm, Ares Tower, STRABAG-Haus, DC Tower 1, Andromeda-Tower, Tech Gate Vienna, Vienna International Centre (halb verdeckt), Danube Flats und Hochhaus Neue Donau",2023 andromedatower arestower dctower1 danube danubeflatsundhochhausneuedonau donau donaucity donaukreuzfahrt emount fluss nacht regen strabaghaus sony sonyalpha sonyalpha7iv sonyfe24105mmf4goss techgatevienna viennainternationalcentre wien österreich,48.224991,16.407408,0,https://live.staticflickr.com/65535/53451225841_5fa3f0527f_c.jpg,192729742@N03,"['Superbe paysage nocturne ', 'Very nice indeed Carsten ', 'Great capture of this night scene, Carsten ', '[https://www.flickr.com/photos/29364835@N02/] merci 🙏 ', '[https://www.flickr.com/photos/78538125@N05/] thanks Pete ', '[https://www.flickr.com/photos/99228543@N04/] thank you bps ']",Donau City vom Schiff aus Die Donau City von Süd Südwest aus gesehen Von links nach rechts Donauturm Ares Tower STRABAG Haus DC Tower Andromeda Tower Tech Gate Vienna Vienna International Centre halb verdeckt Danube Flats und Hochhaus Neue Donau andromedatower arestower danube danubeflatsundhochhausneuedonau donau donaucity donaukreuzfahrt emount fluss nacht regen strabaghaus sony sonyalpha techgatevienna viennainternationalcentre wien österreich,"[-0.15491763 -0.01258553 -0.06260309  0.164434    0.0621544   0.00110574
 -0.03498035  0.07301671 -0.25335467 -0.06610565  0.04155009 -0.08313923
 -0.06454798 -0.1425618  -0.09480139 -0.28650397  0.17449301  0.12735143
 -0.20639071 -0.20322217 -0.02809765  0.05820638  0.11076333 -0.02646956
  0.03162518 -0.12530813 -0.19776884 -0.06281125  0.02891066 -0.09569519
  0.1111687   0.01705617 -0.10984265 -0.19758722 -0.05767025  0.0826643
  0.0133939  -0.13292335 -0.13119328 -0.01557311 -0.00529586 -0.09001087
  0.05183433 -0.08324237  0.09386928 -0.11356477 -0.07738761 -0.08296493
  0.14718539 -0.07127246 -0.02061466 -0.05285854 -0.05691189 -0.17516156
 -0.14192244  0.08954274  0.05314037  0.02708659 -0.08947849  0.22396258
  0.07963505  0.06790626  0.1906126  -0.07319206 -0.0052982   0.02455875
  0.10824412  0.20587395 -0.19737709 -0.0744154  -0.06841826  0.0854157
 -0.02195802 -0.09995738 -0.13339661  0.05858003  0.00396743 -0.09171465
 -0.01179391 -0.06712054 -0.0503828   0.07100311 -0.14965811  0.06881492
  0.08729148 -0.12617186  0.09684604 -0.05880985  0.1110142   0.0299911
 -0.00236483  0.15070985 -0.21995758 -0.2210525   0.12485143  0.22505178
  0.04308069 -0.09215247  0.23134851  0.04155184]",PICTURE53451225841,14,2,nighttime view of a city skyline with a bridge and a river
53,53451445549,Karl-Borromäus Kirche,"Churches of Vienna: Karl-Borromäus-Kirche

 When you are in Vienna I highly recommend visiting some the countless beautiful churches of Vienna. 
The Central Cemetery church of St. Karl Borromäus is a beautiful example of Art Nouveau architecture in Vienna.

 Bei einem Besuch in Wien empfehle ich, sich etwas Zeit für einige der unzähligen wunderschönen Kirchen in Wien zu nehmen. 
Die Friedhofskirche zum heiligen Karl Borromäus auf dem Wiener Zentralfriedhof ist ein wunderbares Beispiel für den Wiener Jugendstil.",karlborromäuskirche wien vienna church kirche lookup architektur architecture stkarlborromäus zentralfriedhof centralcemetary artnouveau jugendstil kuppel dome,48.150805,16.438058,0,https://live.staticflickr.com/65535/53451445549_f48f49f760_c.jpg,116427736@N08,"['Excellent. ', ""Beautiful point of view.  I'm impressed with what a great job you did keeping all of the angles and lines straight.  I often find that difficult.  Well done! "", 'Einzigartig würde ich sagen. ', '&quot;Thanks for sharing&quot;\n\n<a href=""https://www.flickr.com/groups/460979@N25/""><img src=""https://farm9.staticflickr.com/8240/8455177079_51f388749c.jpg"" width=""450"" height=""135; alt="" /></a>\n\nSEEN IN TRAVELER\'S PHOTOS Flickr Group ', ""Marvelous symmetry! I feel like I'm looking into a kaleidoscope. "", '&quot;Thanks for sharing&quot;\n\n<a href=""https://www.flickr.com/groups/460979@N25/""><img src=""https://farm9.staticflickr.com/8240/8455177079_51f388749c.jpg"" width=""450"" height=""135; alt="" /></a>\n\nSEEN IN TRAVELER\'S PHOTOS Flickr Group ', 'eine wunderbare Aufnahme ', 'die ist richtig super 👍 ', '!!!!!!!!!!!!!\nWas für eine Symmetrie!\nEine ausgezeichnete Aufnahme!\nFotodaten wären interessant (Kamera, Objektive, Brennweite, Blende, Zeit, ISO, ....) ', 'Wonderful symmetry - perfectly framed :) ', 'Almost perfect 😄 ', 'Jetzt funktionierts, danke!\nDieses 10mm Objektiv muss ja ziemlich gut sein, so scharf?\nWelche Objektivmarke? ']",Karl Borromäus Kirche Churches Vienna Karl Borromäus Kirche Vienna highly recommend visiting countless beautiful churches Vienna Central Cemetery church Karl Borromäus beautiful example Art Nouveau architecture Vienna Bei einem Besuch Wien empfehle ich sich etwas Zeit für einige der unzähligen wunderschönen Kirchen Wien zu nehmen Die Friedhofskirche zum heiligen Karl Borromäus auf dem Wiener Zentralfriedhof ist ein wunderbares Beispiel für den Wiener Jugendstil karlborromäuskirche wien vienna church kirche lookup architektur architecture stkarlborromäus zentralfriedhof centralcemetary artnouveau jugendstil kuppel dome,"[-0.05993963 -0.08786145 -0.14996424  0.08855619  0.07086276 -0.11868505
 -0.13659701  0.01434365 -0.24401933 -0.15918033  0.03016267 -0.01327351
 -0.03478645 -0.14336795 -0.12670799 -0.27580705  0.22401997  0.009458
 -0.09077285 -0.11607006  0.05640249  0.13850711  0.01136787 -0.13134447
  0.03966067 -0.12392057 -0.28236803 -0.0498711   0.2022302  -0.11038338
 -0.00905993  0.13478655 -0.14433673 -0.34196278 -0.0185643   0.04004147
 -0.11049528 -0.17809582 -0.18294652 -0.08946864  0.00617203 -0.1750309
  0.2620902  -0.2165575   0.10826796 -0.17954907 -0.16916008 -0.05986262
  0.17788652 -0.145842   -0.04226014  0.0276451  -0.00326521 -0.19882962
 -0.00282371  0.15423317  0.0146783   0.12478398 -0.15370862  0.25000045
  0.11083885  0.11139244  0.22214565  0.0997832   0.00747837  0.02858044
  0.06137733  0.07568134 -0.3484828  -0.03385608 -0.125831   -0.08362491
 -0.01482334 -0.13571845 -0.04795656 -0.0042182  -0.06278753 -0.11853357
 -0.06268124  0.06448162 -0.01124722  0.14159217 -0.20465405  0.11740225
  0.1842011   0.00714597  0.10280119  0.28499937  0.26147857  0.12879184
 -0.00955694  0.20329367 -0.29893392 -0.18777268 -0.02589291  0.18681028
  0.0954533  -0.10681267  0.24609101  0.01469665]",PICTURE53451445549,4,11,arafed view of a dome with a blue sky in the center
54,53450661355,light shower,(Wien/Schweidlgasse),countrycodeat laterne licht lichtspur österreich schnee wien 52projects2024 flickr,48.226066,16.391716,0,https://live.staticflickr.com/65535/53450661355_4d67149dd4_c.jpg,34936566@N02,[],light shower Wien Schweidlgasse countrycodeat laterne licht lichtspur österreich schnee wien flickr,"[-0.02298092 -0.02052489 -0.03443512  0.03897151  0.03303517 -0.04670597
 -0.03155062  0.03859152 -0.09060284 -0.04647737  0.04103027 -0.01245825
 -0.03050461 -0.01368249 -0.02274735 -0.06824758  0.0657015   0.0398562
 -0.07957505 -0.1123834  -0.0137038   0.02079793  0.02545789 -0.01857742
  0.00511789 -0.03236246 -0.09626777 -0.04317079  0.0489495  -0.04102892
  0.07135987  0.02992039 -0.02953696 -0.081081   -0.01006837  0.01729303
  0.01713093 -0.04809129 -0.0318858  -0.0167969   0.02301417 -0.09699276
  0.02746651 -0.06476692  0.02244817 -0.07002944 -0.03447283 -0.03513058
  0.05432343 -0.03473717  0.00033301 -0.0424515  -0.03630555 -0.04007149
 -0.03868052  0.0492729   0.01989946  0.00386976 -0.0568015   0.05341487
  0.02325362  0.03296578  0.10113404 -0.00798345 -0.03006856  0.03309635
  0.04851861  0.04261227 -0.09250408 -0.04156682 -0.05360579  0.03214741
  0.00060829 -0.03270467 -0.03171326 -0.01415892 -0.02077153 -0.00702219
 -0.01816751  0.01452366  0.01840092  0.04247007 -0.06057176  0.03689663
  0.04540733 -0.02288017  0.02942673  0.02282922  0.0358125   0.03945111
 -0.00816329  0.05273907 -0.04474179 -0.06163112  0.01985612  0.07421105
  0.06091058 -0.03039459  0.07942214  0.02371907]",PICTURE53450661355,14,2,there is a light that is on a pole in the dark
